Airline Name,Travel Time,Number of Stops,Ticket Price ($),Departure Airport,Departure Time,1st Stop: Departure Time,1st Stop,2nd Stop: Departure Time,2nd Stop,Destination Airport,Arrival Time,Arrival Date
United,1 days 03:30:00,1 Stop,2066.0,JFK,14:05:00,0 days 06:50:00,HND,,,BKK,04:35:00,1-04-09
Multiple,1 days 14:25:00,1 Stop,2071.0,JFK,14:05:00,0 days 17:35:00,HND,,,BKK,15:30:00,1-04-09
ANA All Nippon,1 days 03:30:00,1 Stop,2076.0,JFK,14:05:00,0 days 06:50:00,HND,,,BKK,04:35:00,1-04-09
ANA All Nippon,1 days 14:25:00,1 Stop,2076.0,JFK,14:05:00,0 days 17:35:00,HND,,,BKK,15:30:00,1-04-09
ANA All Nippon,1 days 01:05:00,1 Stop,2077.0,EWR,11:40:00,0 days 04:30:00,NRT,,,BKK,23:45:00,1-04-08
Multiple,1 days 02:30:00,2 Stops,2080.0,LGA,15:05:00,0 days 01:02:00,ORD,0 days 03:00:00,HND,BKK,04:35:00,1-04-09
Multiple,1 days 06:06:00,2 Stops,2080.0,EWR,11:29:00,0 days 04:45:00,ORD,0 days 03:00:00,HND,BKK,04:35:00,1-04-09
Etihad,0 days 16:05:00,1 Stop,542.0,LHR,21:55:00,0 days 02:45:00,AUH,,,JFK,20:00:00,1-04-08
Etihad,0 days 17:05:00,1 Stop,542.0,LHR,20:55:00,0 days 03:45:00,AUH,,,JFK,20:00:00,1-04-08
Etihad,0 days 23:10:00,1 Stop,542.0,LHR,14:50:00,0 days 09:50:00,AUH,,,JFK,20:00:00,1-04-08
Etihad,1 days 04:25:00,1 Stop,542.0,LHR,21:55:00,0 days 15:05:00,AUH,,,JFK,08:20:00,1-04-09
Etihad,1 days 05:25:00,1 Stop,542.0,LHR,20:55:00,0 days 16:05:00,AUH,,,JFK,08:20:00,1-04-09
Etihad,1 days 11:30:00,1 Stop,542.0,LHR,14:50:00,0 days 22:10:00,AUH,,,JFK,08:20:00,1-04-09
